Academic Year,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,District Name,School Name,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Percent Eligible Free,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2022-2023,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,0811,Directly funded,Y,4,12,272,199,0.7316176470588235,214,0.7867647058823529,268,196,0.7313432835820896,210,0.7835820895522388,Y
2022-2023,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,1284,Directly funded,Y,K,8,183,135,0.7377049180327869,139,0.7595628415300546,181,133,0.7348066298342542,137,0.7569060773480663,Y
2022-2023,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1296,Directly funded,Y,K,8,766,193,0.2519582245430809,205,0.26762402088772846,766,193,0.2519582245430809,205,0.26762402088772846,Y
2022-2023,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1383,Directly funded,Y,K,8,328,78,0.23780487804878048,86,0.2621951219512195,307,77,0.250814332247557,84,0.2736156351791531,Y
2022-2023,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,K,12,48,48,1,48,1,40,40,1,40,1,Y
2022-2023,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,K,12,54,45,0.8333333333333334,45,0.8333333333333334,34,26,0.7647058823529411,26,0.7647058823529411,Y
2022-2023,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,,Yes,0398,Directly funded,Y,9,12,143,107,0.7482517482517482,128,0.8951048951048951,122,90,0.7377049180327869,109,0.8934426229508197,Y
2022-2023,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Provision 2,Yes,1707,Directly funded,Y,6,8,59,26,0.4406779661016949,26,0.4406779661016949,59,26,0.4406779661016949,26,0.4406779661016949,Y
2022-2023,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,1881,Directly funded,Y,K,12,494,117,0.23684210526315788,134,0.27125506072874495,488,115,0.23565573770491804,132,0.27049180327868855,Y
2022-2023,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,,Yes,1888,Locally funded,N,10,12,166,92,0.5542168674698795,92,0.5542168674698795,50,41,0.82,41,0.82,Y
2022-2023,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,Provision 2,Yes,1908,Directly funded,Y,6,8,146,114,0.7808219178082192,125,0.8561643835616438,146,114,0.7808219178082192,125,0.8561643835616438,Y
2022-2023,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,2027,Directly funded,Y,K,6,150,56,0.37333333333333335,63,0.42,147,55,0.3741496598639456,62,0.4217687074829932,Y
2022-2023,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,0740,Directly funded,Y,P,5,483,401,0.8302277432712215,440,0.9109730848861284,468,389,0.8311965811965812,427,0.9123931623931624,Y
2022-2023,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,1464,Directly funded,Y,K,8,463,359,0.775377969762419,401,0.8660907127429806,447,346,0.7740492170022372,387,0.8657718120805369,Y
2022-2023,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,,No ,,,N,K,Adult,55,16,0.2909090909090909,16,0.2909090909090909,42,14,0.3333333333333333,14,0.3333333333333333,Y
2022-2023,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2,No ,,,N,P,12,294,292,0.9931972789115646,292,0.9931972789115646,241,241,1,241,1,Y
2022-2023,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,27,6,0.2222222222222222,6,0.2222222222222222,24,5,0.20833333333333334,5,0.20833333333333334,Y
2022-2023,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,167,54,0.32335329341317365,72,0.4311377245508982,165,54,0.32727272727272727,72,0.43636363636363634,Y
2022-2023,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,5,425,235,0.5529411764705883,271,0.6376470588235295,407,230,0.5651105651105651,265,0.6511056511056511,Y
2022-2023,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,1066,Directly funded,Y,K,12,524,201,0.383587786259542,212,0.40458015267175573,505,197,0.3900990099009901,207,0.4099009900990099,Y
2022-2023,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Elementary Schools (Public),Traditional,,Yes,1181,Directly funded,Y,K,8,607,250,0.41186161449752884,307,0.5057660626029654,607,250,0.41186161449752884,307,0.5057660626029654,Y
2022-2023,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1802,392,0.21753607103218647,565,0.3135405105438402,1733,371,0.2140796306982112,537,0.309867282169648,Y
2022-2023,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,0352,Directly funded,Y,6,12,398,133,0.3341708542713568,135,0.3391959798994975,395,131,0.33164556962025316,133,0.3367088607594937,Y
2022-2023,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,,No ,,,N,6,12,1158,414,0.35751295336787564,545,0.47063903281519864,1145,405,0.3537117903930131,536,0.46812227074235807,Y
2022-2023,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,No ,,,N,9,12,80,52,0.65,53,0.6625,63,43,0.6825396825396826,44,0.6984126984126984,Y
2022-2023,01,61119,0139220,Alameda,Alameda Unified,Maya Lin,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,469,121,0.2579957356076759,161,0.34328358208955223,469,121,0.2579957356076759,161,0.34328358208955223,Y
2022-2023,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,433,71,0.16397228637413394,92,0.21247113163972287,433,71,0.16397228637413394,92,0.21247113163972287,Y
2022-2023,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,541,83,0.1534195933456562,118,0.21811460258780038,541,83,0.1534195933456562,118,0.21811460258780038,Y
2022-2023,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,285,53,0.18596491228070175,69,0.24210526315789474,285,53,0.18596491228070175,69,0.24210526315789474,Y
2022-2023,01,61119,6090047,Alameda,Alameda Unified,Love Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,471,172,0.3651804670912951,232,0.49256900212314225,442,162,0.3665158371040724,219,0.49547511312217196,Y
2022-2023,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,876,125,0.14269406392694065,183,0.2089041095890411,876,125,0.14269406392694065,183,0.2089041095890411,Y
2022-2023,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,610,260,0.4262295081967213,333,0.5459016393442623,610,260,0.4262295081967213,333,0.5459016393442623,Y
2022-2023,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,330,120,0.36363636363636365,135,0.4090909090909091,330,120,0.36363636363636365,135,0.4090909090909091,Y
2022-2023,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,588,71,0.12074829931972789,119,0.20238095238095238,550,65,0.11818181818181818,110,0.2,Y
2022-2023,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,568,78,0.13732394366197184,110,0.1936619718309859,568,78,0.13732394366197184,110,0.1936619718309859,Y
2022-2023,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,10,2,0.2,2,0.2,10,2,0.2,2,0.2,Y
2022-2023,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,10,12,18,10,0.5555555555555556,10,0.5555555555555556,17,10,0.5882352941176471,10,0.5882352941176471,Y
2022-2023,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1151,240,0.20851433536055602,303,0.263249348392702,1128,231,0.2047872340425532,294,0.26063829787234044,Y
2022-2023,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,569,105,0.18453427065026362,129,0.22671353251318102,569,105,0.18453427065026362,129,0.22671353251318102,Y
2022-2023,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,781,152,0.1946222791293214,206,0.26376440460947503,781,152,0.1946222791293214,206,0.26376440460947503,Y
2022-2023,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,325,62,0.19076923076923077,91,0.28,325,62,0.19076923076923077,91,0.28,Y
2022-2023,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,675,203,0.30074074074074075,249,0.3688888888888889,633,190,0.3001579778830964,233,0.36808846761453395,Y
2022-2023,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,49,16,0.32653061224489793,16,0.32653061224489793,37,12,0.32432432432432434,12,0.32432432432432434,Y
2022-2023,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,3204,688,0.21473158551810237,738,0.2303370786516854,3144,663,0.21087786259541985,712,0.22646310432569974,Y
2022-2023,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,CEP,No ,,,N,10,12,49,35,0.7142857142857143,35,0.7142857142857143,46,33,0.717391304347826,33,0.717391304347826,Y
2022-2023,01,61143,0141655,Alameda,Berkeley Unified,Berkeley Independent Study K-8,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,8,36,14,0.3888888888888889,14,0.3888888888888889,36,14,0.3888888888888889,14,0.3888888888888889,Y
2022-2023,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,871,163,0.18714121699196326,175,0.20091848450057406,871,163,0.18714121699196326,175,0.20091848450057406,Y
2022-2023,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,596,114,0.1912751677852349,126,0.21140939597315436,596,114,0.1912751677852349,126,0.21140939597315436,Y
2022-2023,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,364,82,0.22527472527472528,86,0.23626373626373626,352,79,0.22443181818181818,83,0.23579545454545456,Y
2022-2023,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,303,74,0.24422442244224424,77,0.25412541254125415,288,67,0.2326388888888889,70,0.24305555555555555,Y
2022-2023,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,270,71,0.26296296296296295,74,0.2740740740740741,270,71,0.26296296296296295,74,0.2740740740740741,Y
2022-2023,01,61143,6090252,Alameda,Berkeley Unified,Ruth Acty Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,395,65,0.16455696202531644,65,0.16455696202531644,380,60,0.15789473684210525,60,0.15789473684210525,Y
2022-2023,01,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,370,89,0.24054054054054055,103,0.27837837837837837,356,84,0.23595505617977527,98,0.2752808988764045,Y
2022-2023,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,459,125,0.27233115468409586,133,0.289760348583878,426,111,0.2605633802816901,118,0.27699530516431925,Y
2022-2023,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,450,196,0.43555555555555553,216,0.48,450,196,0.43555555555555553,216,0.48,Y
2022-2023,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary at West Campus,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,262,70,0.26717557251908397,76,0.2900763358778626,262,70,0.26717557251908397,76,0.2900763358778626,Y
2022-2023,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,342,76,0.2222222222222222,82,0.23976608187134502,342,76,0.2222222222222222,82,0.23976608187134502,Y
2022-2023,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,395,77,0.1949367088607595,85,0.21518987341772153,376,75,0.19946808510638298,82,0.21808510638297873,Y
2022-2023,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,395,81,0.20506329113924052,88,0.22278481012658227,384,77,0.20052083333333334,84,0.21875,Y
2022-2023,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,263,75,0.28517110266159695,80,0.3041825095057034,263,75,0.28517110266159695,80,0.3041825095057034,Y
2022-2023,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,16,7,0.4375,7,0.4375,13,6,0.46153846153846156,6,0.46153846153846156,Y
2022-2023,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,,No ,,,N,9,12,24,6,0.25,8,0.3333333333333333,0,0,0,0,0,Y
2022-2023,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,2799,650,0.23222579492675954,975,0.3483386923901393,2758,635,0.23023930384336475,955,0.3462654097171864,Y
